ID,gCF,gCF_N,gN,Trees_supporting_ML_topology,gDF1,gDF1_N,Alt_Hypoth_2,gDF2,gDF2_N,Alt_Hypoth_3,gDFP,gDFP_N,gN,Polyphyly
90,42.35,36,85,0.423529412,14.12,12,0.141176471,20,17,0.2,23.53,20,85,0.235294118
80,36.25,58,160,0.3625,21.25,34,0.2125,18.75,30,0.1875,23.75,38,160,0.2375
70,34.85,84,241,0.348547718,21.16,51,0.211618257,17.43,42,0.174273859,26.56,64,241,0.265560166
60,33.54,106,316,0.335443038,22.15,70,0.221518987,17.09,54,0.170886076,27.22,86,316,0.272151899
50,31.09,125,402,0.310945274,20.9,84,0.208955224,16.42,66,0.164179104,31.59,127,402,0.315920398
40,29.08,139,478,0.290794979,19.25,92,0.192468619,15.9,76,0.158995816,35.77,171,478,0.357740586
30,26.79,150,560,0.267857143,20.54,115,0.205357143,15.36,86,0.153571429,37.32,209,560,0.373214286
20,26.2,169,645,0.262015504,18.14,117,0.181395349,15.5,100,0.15503876,40.16,259,645,0.401550388
10,26.01,187,719,0.260083449,17.94,129,0.179415855,14.74,106,0.147426982,41.31,297,719,0.413073713
0,23.99,191,796,0.239949749,16.83,134,0.168341709,14.45,115,0.144472362,44.72,356,796,0.447236181
