ID,gCF,gCF_N,gN,Trees_supporting_ML_topology,gDF1,gDF1_N,Alt_Hypoth_2,gDF2,gDF2_N,Alt_Hypoth_3,gDFP,gDFP_N,gN,Polyphyly
90,79.49,62,78,0.794871795,5.13,4,0.051282051,3.85,3,0.038461538,11.54,9,78,0.115384615
80,77.7,108,139,0.776978417,6.47,9,0.064748201,5.04,7,0.050359712,10.79,15,139,0.107913669
70,71.9,151,210,0.719047619,7.62,16,0.076190476,5.24,11,0.052380952,15.24,32,210,0.152380952
60,68.13,186,273,0.681318681,7.69,21,0.076923077,5.13,14,0.051282051,19.05,52,273,0.19047619
50,62.24,211,339,0.622418879,9.14,31,0.091445428,5.01,17,0.050147493,23.6,80,339,0.235988201
40,58.29,239,410,0.582926829,10,41,0.1,6.1,25,0.06097561,25.61,105,410,0.256097561
30,56.03,265,473,0.5602537,10.36,49,0.10359408,6.98,33,0.069767442,26.64,126,473,0.266384778
20,54.43,295,542,0.544280443,10.15,55,0.101476015,6.64,36,0.066420664,28.78,156,542,0.287822878
10,51.48,314,610,0.514754098,10.16,62,0.101639344,6.72,41,0.067213115,31.64,193,610,0.316393443
0,48.21,323,670,0.482089552,10.6,71,0.105970149,6.42,43,0.064179104,34.78,233,670,0.347761194
