ID,gCF,gCF_N,gN,Trees_supporting_ML_topology,gDF1,gDF1_N,Alt_Hypoth_2,gDF2,gDF2_N,Alt_Hypoth_3,gDFP,gDFP_N,gN,Polyphyly
90,39.29,22,56,0.392857143,7.14,4,0.071428571,7.14,4,0.071428571,46.43,26,56,0.464285714
80,44.83,52,116,0.448275862,8.62,10,0.086206897,5.17,6,0.051724138,41.38,48,116,0.413793103
70,37.16,68,183,0.371584699,8.74,16,0.087431694,4.92,9,0.049180328,49.18,90,183,0.491803279
60,34.4,86,250,0.344,9.2,23,0.092,5.2,13,0.052,51.2,128,250,0.512
50,35.02,111,317,0.350157729,8.2,26,0.082018927,5.05,16,0.050473186,51.74,164,317,0.517350158
40,34.62,135,390,0.346153846,7.44,29,0.074358974,4.87,19,0.048717949,53.08,207,390,0.530769231
30,30.6,142,464,0.306034483,7.33,34,0.073275862,4.74,22,0.047413793,57.33,266,464,0.573275862
20,27.83,150,539,0.278293135,7.42,40,0.074211503,4.45,24,0.044526902,60.3,325,539,0.60296846
10,27.26,169,620,0.272580645,6.77,42,0.067741935,4.03,25,0.040322581,61.94,384,620,0.619354839
0,25.04,173,691,0.250361795,6.8,47,0.068017366,3.91,27,0.039073806,64.25,444,691,0.642547033
