ID,gCF,gCF_N,gN,Prop._trees_supporting_Oniscidea_monophyly,gDF1,gDF1_N,Alt_branching_pattern_2,gDF2,gDF2_N,Alt_branching_pattern_3,gDFP,gDFP_N,gN,Polyphyly,sCF,sCF_N,sDF1,sDF1_N,sDF2,sDF2_N,sN,Label,Length
90,78.13,75,96,0.78125,2.08,2,0.125,3.13,3,0.03125,16.67,16,96,0.166666667,39.63,1214.54,28.95,871.44,31.41,960.35,3046.33,100,0.0363856
80,72.4,139,192,0.723958333,2.08,4,0.088888889,2.08,4,0.020833333,23.44,45,192,0.234375,39.71,1219.62,28.55,852.48,31.74,971.77,3043.87,100,0.0363856
70,70.77,201,284,0.707746479,1.76,5,0.070422535,2.46,7,0.024647887,25,71,284,0.25,39.73,1230.02,28.69,872.75,31.58,978.54,3081.31,100,0.0363856
60,64.29,243,378,0.642857143,2.12,8,0.06779661,2.38,9,0.023809524,31.22,118,378,0.312169312,39.51,1240.88,28.73,893.62,31.76,1002.32,3136.82,100,0.0363856
50,58.35,276,473,0.583509514,2.11,10,0.056818182,2.33,11,0.023255814,37.21,176,473,0.372093023,40.14,1438.14,28.54,997.27,31.33,1107.06,3542.47,100,0.0363856
40,54.26,306,564,0.542553191,1.95,11,0.047619048,2.84,16,0.028368794,40.96,231,564,0.409574468,39.44,1348.45,28.86,959.7,31.7,1074.17,3382.32,100,0.0363856
30,49.47,325,657,0.494672755,2.13,14,0.047138047,3.2,21,0.03196347,45.21,297,657,0.452054795,39.67,1479.14,28.44,1034.86,31.89,1183.44,3697.44,100,0.0363856
20,46.13,346,750,0.461333333,2.13,16,0.043956044,3.2,24,0.032,48.53,364,750,0.485333333,40,1302.71,28.63,915.55,31.37,1017.28,3235.54,100,0.0363856
10,42.65,360,844,0.426540284,2.25,19,0.043181818,2.96,25,0.029620853,52.13,440,844,0.521327014,39.73,1451.67,28.64,1014.74,31.64,1138.51,3604.92,100,0.0363856
0,39.47,371,940,0.394680851,2.02,19,0.03646833,3.09,29,0.030851064,55.43,521,940,0.554255319,39.28,1327.37,28.74,959.83,31.98,1078.04,3365.24,100,0.0363856
