Taxon	Colour	Group
Amphipoda_Arrhis_phyllonyx	'#000000'	Outgroup
Amphipoda_Astyra_antarctica	'#000000'	Outgroup
Amphipoda_Gammarus_wilkitzkii	'#000000'	Outgroup
Amphipoda_Monoculodes_packardi	'#000000'	Outgroup
Amphipoda_Paroediceros_propinquus	'#000000'	Outgroup
Amphipoda_Talorchestia_spinipalma	'#000000'	Outgroup
Anthuridea_Anthuridae_Cyathura_carinata	'#ff0000'	Anthuridea
Anthuridea_Paranthuridae_Paranthura_nigropunctata	'#ff0000'	Anthuridea
Asellota_Aselloidea_Asellidae_Asellus_aquaticus	'#008000'	Aselloidea
Asellota_Aselloidea_Asellidae_Caecidotea_racovitzai	'#008000'	Aselloidea
Asellota_Aselloidea_Asellidae_Lirceus_fontinalis	'#008000'	Aselloidea
Asellota_Aselloidea_Asellidae_Proasellus_slavus	'#008000'	Aselloidea
Asellota_Aselloidea_Stenasellidae_Stenasellus_racovitzai	'#008000'	Aselloidea
Asellota_Janiroidea_Acanthaspidiidae_Acanthaspidia_drygalskii	'#008080'	Janiroidea
Asellota_Janiroidea_Acanthaspidiidae_Ianthopsis_multispinosa	'#008080'	Janiroidea
Asellota_Janiroidea_Dendrotionidae_Acanthomunna_spinipes	'#008080'	Janiroidea
Asellota_Janiroidea_Dendrotionidae_Dendromunna_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Dendrotionidae_Dendrotion_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Desmosomatidae_Chelator_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Desmosomatidae_Eugerda_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Desmosomatidae_Eugerdella_natator	'#008080'	Janiroidea
Asellota_Janiroidea_Desmosomatidae_Mirabilicoxa_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Haplomunnidae_Thylakogaster_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Haploniscidae_Antennuloniscus_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Haploniscidae_Chauliodoniscus_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Haploniscidae_Haploniscus_rostratus	'#008080'	Janiroidea
Asellota_Janiroidea_Haploniscidae_Mastigoniscus_polygomphios	'#008080'	Janiroidea
Asellota_Janiroidea_Ischnomesidae_Haplomesus_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Ischnomesidae_Ischnomesus_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Ischnomesidae_Stylomesus_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Janirellidae_Janirella_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Janiridae_Iais_pubescens	'#008080'	Janiroidea
Asellota_Janiroidea_Janiridae_Ianiropsis_epilittoralis	'#008080'	Janiroidea
Asellota_Janiroidea_Janiridae_Iathrippa_trilobatus	'#008080'	Janiroidea
Asellota_Janiroidea_Janiridae_Jaera_albifrons	'#008080'	Janiroidea
Asellota_Janiroidea_Janiridae_Janira_maculosa	'#008080'	Janiroidea
Asellota_Janiroidea_Janiridae_Neojaera_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Joeropsidae_Joeropsis_coralicola	'#008080'	Janiroidea
Asellota_Janiroidea_Macrostylidae_Macrostylis_sp	'#008080'	Janiroidea
Asellota_Janiroidea_Mesosignidae_Mesosignum_weddellensis	'#008080'	Janiroidea
Asellota_Janiroidea_Munnidae_Uromunna_nana	'#008080'	Janiroidea
Asellota_Janiroidea_Munnopsidae_Acanthocopinae_Acanthocope_galathea	'#008080'	Janiroidea
Asellota_Janiroidea_Munnopsidae_Bathyopsurinae_Paropsurus_giganteus	'#008080'	Janiroidea
Asellota_Janiroidea_Munnopsidae_Betamorphinae_Betamorpha_africana	'#008080'	Janiroidea
